epoch,train_loss,train_accuracy,val_loss,val_accuracy,f1
1,1.7046336126716242,0.5858695754376443,0.807926591614197,0.810344841973535,0.8369487524032593
2,0.384360290504992,0.8921739238759746,0.33008905673592254,0.9103448401237356,0.9134303331375122
3,0.20701594223551775,0.940434788102689,0.19056907872637285,0.9440886768801459,0.9278213977813721
4,0.1224475205446968,0.9641304350417593,0.18799098134683123,0.9508620736927822,0.9487104415893555
5,0.09837435355027833,0.9719565210135087,0.1706066119107257,0.9491379363783474,0.947670042514801
6,0.0728227579905449,0.9750000002591507,0.13452432874855103,0.9681034478647955,0.9741379022598267
7,0.06937789434260871,0.9815217378346817,0.13710279554803054,0.9637931030372093,0.9621866345405579
8,0.0582889823618841,0.982608694874722,0.0975466849827328,0.9699507365966665,0.9643779993057251
9,0.046672451307898405,0.9873913026374319,0.09570687263200445,0.9784482779174015,0.9692482352256775
10,0.036228906502029805,0.988043477224267,0.12252666993399858,0.9630541914495928,0.9645642042160034
11,0.03749580386834366,0.9876086939936098,0.08940024818479413,0.974137932062149,0.9646322727203369
12,0.030214565730879574,0.9906521737575531,0.10513318457485403,0.9690886715362812,0.9605184197425842
13,0.02758584500147465,0.9913043467894844,0.09902614113048787,0.9732758639187649,0.9646129608154297
14,0.02160178300888694,0.9952173904232356,0.09621861430106696,0.981896552546271,0.9735061526298523
15,0.01894796042319997,0.9947826079700304,0.08494897836539919,0.979310347088452,0.9736279845237732
16,0.0189845937603897,0.9954347820385643,0.08199931801432128,0.9767241385476343,0.9735152125358582
17,0.018991102600294536,0.9956521733947422,0.07246580601901675,0.9810344823475542,0.9780612587928772
18,0.021520148790406656,0.9941304341606472,0.07216725566038427,0.9784482768897352,0.9526954889297485
19,0.01613616922482122,0.9954347820385643,0.07124166445459164,0.9818965504909384,0.9798840284347534
20,0.012646108700372007,0.9958695644917696,0.06142977479817875,0.9862068953185246,0.9804530739784241
21,0.020629070979370938,0.9947826074517292,0.07238756450360911,0.9827586196619889,0.9766307473182678
22,0.014998507269816084,0.9947826077108798,0.06494737185400073,0.9862068963461909,0.981170117855072
23,0.014006825326566247,0.9954347822977149,0.07556326366857084,0.9810344823475542,0.9725537896156311
24,0.013612502153398015,0.9956521731355916,0.07473862799663336,0.9801724131765037,0.9797679781913757
25,0.008846052314445683,0.9976086953411931,0.07864384256666802,0.9818965504909384,0.9804774522781372
26,0.009640079969840768,0.9969565212726593,0.07691558715395065,0.9818965515186047,0.9830917716026306
27,0.012761166563703465,0.9965217383011528,0.07325805763700396,0.9836206898607057,0.9779971837997437
28,0.011073450215533976,0.9967391296573307,0.07945754812468248,0.9784482748344027,0.9708948731422424
29,0.01118613033830946,0.9971739123696867,0.06765786220803263,0.9836206898607057,0.9776703119277954
30,0.009466532482739516,0.9971739123696867,0.061363774453376395,0.9844827580040899,0.9802775979042053
31,0.008601724088218717,0.9980434777943984,0.05882644619412821,0.9844827590317562,0.9835221767425537
32,0.01236369875258709,0.9967391296573307,0.05550314672688595,0.9870689655172413,0.9855064153671265
33,0.009513326013235032,0.9973913042441659,0.05634276253149908,0.9853448282028067,0.9853103160858154
34,0.007884560854808875,0.9980434777943984,0.06367656120970905,0.9862068973738571,0.9833260774612427
35,0.010226158431408333,0.9969565212726593,0.06027057202410314,0.9870689655172413,0.9855064153671265
36,0.007413077697260237,0.9973913037258646,0.06847291246872825,0.985344829230473,0.9833298325538635
37,0.013050527883998929,0.9965217385603033,0.0626524533253485,0.9853448282028067,0.9802889227867126
38,0.011347240249911109,0.9956521731355916,0.06423277932196826,0.9870689655172413,0.9855064153671265
39,0.003645733796807967,0.9995652172876441,0.0619881485550838,0.9844827590317562,0.9833260774612427
40,0.007477684251447816,0.998260869409727,0.06411614024917832,0.9844827590317562,0.9782685041427612
41,0.00832354914628705,0.9978260864382205,0.05950642752997212,0.987068964489575,0.9757257103919983
42,0.007251329822775401,0.9980434777943984,0.06263834977460976,0.9853448271751404,0.9830165505409241
43,0.0077704795349859525,0.9984782605067544,0.056996358105174026,0.9879310336606256,0.9855064153671265
44,0.009358753266106938,0.9971739123696867,0.060939551464081164,0.9836206898607057,0.9778813719749451
45,0.00884330647814977,0.9969565210135086,0.057832372565799074,0.9853448282028067,0.9832126498222351
46,0.007270842587801086,0.998260869409727,0.06636007448730946,0.9844827600594225,0.9825317859649658
47,0.004276042878670879,0.9989130432191102,0.0630931557235499,0.9862068963461909,0.9806599617004395
