config_id,status,config.batch_size,config.epochs,config.learning_rate,config.optimizer,config.scheduler_gamma,config.scheduler_step_size,config.weight_decay,metadata.account_for_cost,metadata.eval_cost,metadata.max,metadata.time_end,metadata.time_sampled,metadata.used,result.cost,result.loss,result.info_dict.cost,result.info_dict.train_accuracies,result.info_dict.train_losses,result.info_dict.train_time,result.info_dict.val_accuracies,result.info_dict.val_losses
89_1,complete,60.0,20.0,0.0016805729219267543,adamw,0.08245903107077342,1449.0,7.604924788238952e-05,True,651.7752065658569,82800.0,1722725484.4463866,1722724831.5504391,42246.52901029587,651.7752065658569,1.090678660819928,20.0,"[0.4706303593617506, 0.5793530290494078, 0.6236107601509393, 0.6597411621644043, 0.7024619387895569, 0.7202452120830745, 0.7274762921171463, 0.7412107157333713, 0.7490213927338703, 0.7453058590776926, 0.7479334904693126, 0.751260157353573, 0.753008207982265, 0.7475251804443938, 0.7541396278625369, 0.7517073551295009, 0.7474548133484066, 0.7503852073891044, 0.7530156163882961, 0.7463817235383913]","[1.3907477367017662, 1.1189990849781286, 1.0043963768152282, 0.9154881014836364, 0.8187794850327016, 0.7541278199178432, 0.743141096581367, 0.7088451200303458, 0.6919655361779364, 0.6934513590510146, 0.6921344866329323, 0.68750876974188, 0.6770569158440781, 0.6887782742865092, 0.6777620931829547, 0.6799456300530048, 0.6854794962287883, 0.6851511073952866, 0.6767536253904238, 0.6906703459998647]",651.7752065658569,"[0.5200893112147847, 0.5572172890727719, 0.5758184821655353, 0.580927612259984, 0.5971478503197432, 0.6045883245145282, 0.598685547709465, 0.608283762820065, 0.6095982470239202, 0.6111607467755675, 0.6123760264987747, 0.6089038032417496, 0.6112351519986987, 0.6084821773692966, 0.6131448717787862, 0.6089038007582227, 0.6085565788671374, 0.6106399139389396, 0.607341304110984, 0.6115079692875346]","[1.2838325761258602, 1.1925381124019623, 1.1727104516079028, 1.117060422276457, 1.0962395761162043, 1.1017807858685653, 1.0977475997060537, 1.0929805884758632, 1.0917105271170537, 1.0901696210106213, 1.0931033802529175, 1.094109332188964, 1.0909102025131385, 1.0929697422931592, 1.0901866151640813, 1.0968743401269119, 1.0957315899431705, 1.0888698517034452, 1.096973717212677, 1.090678660819928]"
128_1,complete,55.0,20.0,0.0019055122262145137,adamw,0.10385441650401245,1048.0,0.0038107367497500263,True,625.2350215911865,82800.0,1722743885.5589101,1722743259.8396869,60511.08193683624,625.2350215911865,1.099329598177047,20.0,"[0.4631918625968495, 0.5795590283625434, 0.6265495677598926, 0.6671949560847579, 0.686271184796922, 0.703322076198587, 0.7016134516616758, 0.7060012322578704, 0.7074176070222444, 0.7045467923702806, 0.7019736622794394, 0.7042423124518691, 0.7032921714931013, 0.7085607679266679, 0.7085172702250868, 0.7034960655789626, 0.7044597989634463, 0.7054656722614069, 0.7059998714752744, 0.7031045896157123]","[1.3995241425824507, 1.1129986659476632, 0.9915198315844012, 0.8917752491515218, 0.8489004720055886, 0.7965458902445707, 0.8030536819302865, 0.8014223417311764, 0.7934995684327121, 0.7992047134911615, 0.8013007069033299, 0.7960316627219534, 0.7978870554974204, 0.7964319672310751, 0.789389641162311, 0.7975628461563986, 0.7945528818944995, 0.8014437296031195, 0.7926492020131298, 0.7993660549227701]",625.2350215911865,"[0.5118614557243529, 0.521991324992407, 0.5814718425273895, 0.5929869924272809, 0.5972294219902583, 0.6029437039579664, 0.6008657818748837, 0.6038095079717182, 0.6043289848736354, 0.6017315830503192, 0.603290023122515, 0.6029436999843234, 0.6072727058615003, 0.6053679460570925, 0.6065800661132449, 0.6053679452055977, 0.6024242222309113, 0.6034631834143684, 0.6029437022549765, 0.603982663154602]","[1.3025077808470953, 1.3043468986238753, 1.1370688529241653, 1.1205227295557658, 1.1189379868053255, 1.103693049294608, 1.1052187289510453, 1.100516334601811, 1.1026772306078956, 1.103981167929513, 1.1025634987013682, 1.0992410989034744, 1.0986592400641668, 1.1014070005643934, 1.0990250962121146, 1.1005853976522173, 1.1041932247933888, 1.0981072312309628, 1.1038769903637113, 1.099329598177047]"
129_1,complete,57.0,20.0,0.0027803568705592097,adamw,0.6630786391304365,182.0,0.0027287275564706966,True,629.3605341911316,82800.0,1722744516.2170482,1722743886.375398,61136.31695842743,629.3605341911316,1.1024227112826734,20.0,"[0.4726780242201116, 0.5991812500705198, 0.6545118849271581, 0.6728294856347162, 0.6913475031888219, 0.6991867559867224, 0.7022242208864198, 0.7030883124537267, 0.7078465687725739, 0.7052214388220245, 0.6979785054256543, 0.6986947500380334, 0.7079771692048823, 0.7071434663188073, 0.7045249072257106, 0.7018693833433961, 0.7043170980720899, 0.7026595522097263, 0.7044682310473535, 0.7051442290653958]","[1.384134236695453, 1.058319463327564, 0.9293399339278342, 0.8698693644024302, 0.8321103121595407, 0.8052155231275866, 0.8069138985413772, 0.8050257065160102, 0.7938995776933713, 0.8026669747184583, 0.8106827351354784, 0.8074319926887824, 0.7902571422882175, 0.7969156853466413, 0.7966588609863452, 0.8042762474741593, 0.8120310868577981, 0.806944132147001, 0.7965741352762833, 0.805208308894936]",629.3605341911316,"[0.5128167020802451, 0.5708454328008218, 0.590994812769465, 0.5973101078283669, 0.6031663320442238, 0.602297824798244, 0.6019504214867507, 0.6052507486673865, 0.6050770501099011, 0.6042705803814501, 0.6051390864471398, 0.6033400338475067, 0.6066403622084325, 0.6037991011496817, 0.6061192585690187, 0.6055981540443873, 0.6034020695946004, 0.6069877664051434, 0.6051390852668498, 0.6055361177071487]","[1.295466671485712, 1.159594487435747, 1.1250180271592471, 1.1076391545852813, 1.1040193934251767, 1.1085279052800472, 1.1081032192352975, 1.1026015358396095, 1.1038759604539021, 1.104588528080742, 1.1065922733580713, 1.1056432458433774, 1.101301372641384, 1.1035237760827092, 1.1026603567718278, 1.1037964466774817, 1.1036349688426104, 1.1004669542359833, 1.1061949729919434, 1.1024227112826734]"
57_0,complete,23.0,6.0,0.0009412208984286469,adamw,0.439311686692008,1300.0,0.0005080107158511194,True,199.19641542434692,82800.0,1722708279.207056,1722708079.5766988,25821.12798833847,199.19641542434692,1.1057232143878937,6.0,"[0.44540862494089584, 0.5753445847853048, 0.6252841568506277, 0.6614306732877955, 0.6870516129024513, 0.7061911535274994]","[1.4290080939804588, 1.1058780015767873, 0.9821611081396376, 0.8854520900829418, 0.833408746872101, 0.776916797902133]",199.19641542434692,"[0.5041391365528106, 0.5587362403869629, 0.5854492840766907, 0.5968463858366012, 0.6028405901193619, 0.6101333432197571]","[1.3190377180576325, 1.1826191024780273, 1.1194483568668365, 1.120745816707611, 1.1070015931129455, 1.1057232143878937]"
160_0,complete,24.0,6.0,0.001962947987393454,adamw,0.40066823082456193,1085.0,0.00254245422594715,True,192.7771508693695,82800.0,1722758691.4070492,1722758498.237812,75690.88919329643,192.7771508693695,1.1060900097091992,6.0,"[0.4534361733546015, 0.5706938366282074, 0.6249394425217261, 0.65093023469331, 0.670306911413697, 0.6741004684003792]","[1.4266414096736608, 1.1131662639206354, 0.9763098783253876, 0.9179793275199838, 0.872892133681378, 0.846061377752039]",192.7771508693695,"[0.4762152904023727, 0.5616319607943296, 0.5828125171363354, 0.5925347405175369, 0.5911458508421977, 0.5906250192473332]","[1.400189497321844, 1.1882385296126208, 1.1358870732287565, 1.1152294072012106, 1.1006629467010498, 1.1060900097091992]"
133_1,complete,32.0,20.0,0.0012734150661315045,adamw,0.49703825654350253,780.0,0.002638492089341561,True,622.8135392665863,82800.0,1722746149.0216045,1722745525.8076518,62769.30977988243,622.8135392665863,1.1061635981003444,20.0,"[0.4614701919817991, 0.5811924731000885, 0.6347530882670687, 0.6744977746335244, 0.6949198407881108, 0.710170158685748, 0.7159323150234966, 0.7249757781168212, 0.7304427304141701, 0.7271349309712731, 0.7256040329886678, 0.7233143091035753, 0.7297633825736458, 0.726213364464991, 0.7322536938535802, 0.7236360058312961, 0.7261963333924168, 0.7229150266368409, 0.729806906250526, 0.7286147359852008]","[1.3976402178116163, 1.0949042644507374, 0.9575055176833214, 0.8793522398866983, 0.8225726155268449, 0.7706370253250792, 0.7562594189617295, 0.743545751883791, 0.7306985970078073, 0.7332208329671605, 0.7358598323087506, 0.7365952854701071, 0.7259261087205748, 0.735744471254455, 0.7263252758797165, 0.7328215035970497, 0.739468098226364, 0.7355514716637168, 0.726174396517217, 0.7357161429433106]",622.8135392665863,"[0.5101934525701735, 0.5596726192368402, 0.5746279762850868, 0.593849206633038, 0.6004464288552602, 0.5992311510774825, 0.6003224207295312, 0.5989335318406422, 0.6027529762850867, 0.603224206633038, 0.601537698507309, 0.603100198507309, 0.6034474207295312, 0.6022321429517534, 0.6035714288552602, 0.6039186510774824, 0.6040922621885936, 0.6068700399663713, 0.5968501985073089, 0.6054811510774825]","[1.2940903041097853, 1.1900388422939512, 1.1597055511342154, 1.1355675041675568, 1.123761440647973, 1.1173694511254628, 1.1161150458786222, 1.1138374076949225, 1.1127396288845275, 1.111368758479754, 1.1105213993125491, 1.1152083658509784, 1.1077088091108533, 1.1139058788617453, 1.1059736241896947, 1.1119936698012882, 1.112572736872567, 1.1024191121260325, 1.1159024337927501, 1.1061635981003444]"
154_1,complete,33.0,20.0,0.0030612085869336485,adamw,0.5263092098974153,590.0,0.0015781131340491478,True,624.8167841434479,82800.0,1722756222.0337884,1722755596.8598902,72806.5339717865,624.8167841434479,1.111377102890234,20.0,"[0.44411519409596234, 0.569682562488249, 0.6244163248559524, 0.6467122926280416, 0.6676476716823961, 0.6781078774867386, 0.6846373421193539, 0.6863748152451269, 0.6938648547163639, 0.6880306484199118, 0.6842903914465301, 0.6848060552073622, 0.6861584789451511, 0.6902524905557605, 0.6918593467823391, 0.6831474970897724, 0.6858904437515242, 0.6889422436555227, 0.689204838340995, 0.6829447678193964]","[1.4506997931106338, 1.1222293589306973, 0.9885783765850396, 0.9259637046990723, 0.8861626449587017, 0.8517363394300143, 0.847198153535525, 0.8378861278466795, 0.8238093089526413, 0.8322987529481279, 0.8388252353788107, 0.8369886787372759, 0.8322918850971365, 0.8259541036925097, 0.8371777058332815, 0.8415523845402674, 0.841522884480227, 0.8349299691617489, 0.8317359210173975, 0.8457385534527658]",624.8167841434479,"[0.49895508124910554, 0.5581679020462365, 0.5792406989240099, 0.5799373199884919, 0.5879484663407007, 0.5876001549520712, 0.5877743108176637, 0.5905607979873131, 0.590560793876648, 0.589167553460461, 0.591954041486499, 0.5907349511124622, 0.5949146785270208, 0.5924765056577223, 0.592476504630056, 0.5919540385747778, 0.5909091047514444, 0.5921281952967589, 0.5876001547807934, 0.5919540396024441]","[1.3539600437399986, 1.1797526886408356, 1.1521964090308925, 1.131660057895485, 1.1213469875269924, 1.117091596469112, 1.1173766556827502, 1.118739717993243, 1.1135895468037704, 1.112116077850605, 1.1162498631011482, 1.112693668782026, 1.1106303368491688, 1.1099975383144685, 1.1123108017718655, 1.112488983006313, 1.1121046601355762, 1.108117238200944, 1.1145699603119115, 1.111377102890234]"
126_0,complete,92.0,6.0,0.008594685318031979,adamw,0.8035803360346737,44.0,0.006255079920594029,True,191.22253799438477,82800.0,1722742618.4424398,1722742426.8642213,59681.61628985405,191.22253799438477,1.1159012894781808,6.0,"[0.4642999307513237, 0.5912910971641541, 0.6332476236820221, 0.6487362034320832, 0.652190144777298, 0.6553257369995117]","[1.4061879155635835, 1.081234355688095, 0.9722421944141388, 0.9438279283046722, 0.9288228263854981, 0.9184552862644195]",191.22253799438477,"[0.5250354201074631, 0.5665613365551782, 0.5798736110566154, 0.5844321090077597, 0.5861301933016095, 0.5871926309570433]","[1.25821638485742, 1.1669095045044309, 1.1318261500388858, 1.1212820013364155, 1.1152665094723777, 1.1159012894781808]"
126_1,complete,92.0,20.0,0.008594685318031979,adamw,0.8035803360346737,44.0,0.006255079920594029,True,452.8394265174866,82800.0,1722743259.106145,1722742805.8545518,60058.242510318756,452.8394265174866,1.1169116421351357,14.0,"[0.7633131990432739, 0.7914959580898285, 0.731407525062561, 0.6819970681667328, 0.6634753310680389, 0.6576735627651215, 0.6551901435852051, 0.6542962605953216, 0.6612476232051849, 0.6535136523246765, 0.6531746699810028, 0.6567605197429657, 0.6549189562797546, 0.6545188095569611]","[0.6800437104701996, 0.6344141193628311, 0.755154800415039, 0.865544617652893, 0.9044555878639221, 0.9111277956962586, 0.9206979646682739, 0.933104573726654, 0.9157326557636261, 0.9236130342483521, 0.926126665353775, 0.9251852147579193, 0.9191458897590638, 0.922336119890213]",452.8394265174866,"[0.5858123671440851, 0.5890904929902818, 0.5852947717621213, 0.5861574345164828, 0.5869202102933612, 0.5856398353500972, 0.585022351098439, 0.58470452588702, 0.5875376964372302, 0.5866750327367631, 0.5866750317906576, 0.5879554067339215, 0.5874378094597469, 0.5849497043897235]","[1.1194952224928236, 1.1161910730694968, 1.1199092051339528, 1.1199617641312736, 1.1153494592696902, 1.1166960246979245, 1.121631717871106, 1.118569621018001, 1.1188042712590052, 1.1174987516705952, 1.1181171791894096, 1.1152382937688676, 1.1147158552729894, 1.1169116421351357]"
61_0,complete,51.0,6.0,0.0026568053349573404,adamw,0.09241781186450712,1022.0,0.0021102298182997616,True,189.278795003891,82800.0,1722710407.2193143,1722710217.4881685,27954.63816356659,189.278795003891,1.117756282861254,6.0,"[0.45528456986677357, 0.5621060195756857, 0.6210164996710691, 0.6500587138262662, 0.663101624226623, 0.6748837200210258]","[1.4201112142423304, 1.1491827273580293, 1.0061572398949092, 0.9396937430037099, 0.9004136974161322, 0.8681999384167454]",189.278795003891,"[0.4893979018768378, 0.5301405758456846, 0.5748742225423323, 0.5855804518260787, 0.5919313098477051, 0.5900225816047298]","[1.415585901884906, 1.2868947307620429, 1.142866187391028, 1.122308363429213, 1.1132325624997637, 1.117756282861254]"
