epoch,train_loss,train_accuracy,val_loss,val_accuracy,f1
1,0.5454436808681944,0.8025101940882834,0.28749320975371767,0.8932194210234142,0.8901181221008301
2,0.3783175127500552,0.8589094235566244,0.2509373581125623,0.90606620992933,0.8880611658096313
3,0.3083177452381148,0.8815199644371653,0.21083218923636846,0.9226190027736482,0.9089744687080383
4,0.2678553679842128,0.8986015346917239,0.2005370692128227,0.9257660014288766,0.9062797427177429
5,0.255555212337292,0.9049788071778402,0.1931818902492523,0.9295858780543009,0.8942658305168152
6,0.23046194426893618,0.912987957730818,0.19475910727466855,0.9300827690533229,0.894256055355072
7,0.2231455102349012,0.9161176544627504,0.1917891427874565,0.9309937454405285,0.8953500986099243
8,0.22368973379500173,0.915715465277576,0.1899883080806051,0.9308281143506368,0.894256055355072
9,0.22117701165698933,0.916485174420918,0.18967052868434361,0.9316562709354219,0.8953500986099243
10,0.2183719809617152,0.918221070435629,0.1892001164810998,0.9312421940621876,0.8953500986099243
11,0.21089157882774845,0.9195201014787957,0.18998811812627883,0.9314078240167527,0.8953500986099243
12,0.20967406433735167,0.9191548932682384,0.18878248929977418,0.9312421963328407,0.8953500986099243
13,0.21290109322615788,0.9198922436488303,0.18851154432410286,0.9314906398455302,0.894256055355072
14,0.21494479992529422,0.9191849401407834,0.1884850500595002,0.9314906421161834,0.8953500986099243
15,0.21170643166277966,0.9205625624747938,0.1889214005498659,0.9309109307470775,0.8953500986099243
16,0.21856840327382088,0.9186741120792462,0.18917180377812612,0.9320703523499625,0.8953500986099243
17,0.21477430390470337,0.9184360335888475,0.18961192341077895,0.9320703506469726,0.8953500986099243
18,0.21703373114957195,0.9188497819398579,0.1887079962662288,0.9309937471435183,0.894256055355072
19,0.21281880083266627,0.919610246659466,0.1891253799200058,0.9312421923591977,0.8953500986099243
20,0.21517201625345425,0.9180199722068731,0.1882321284640403,0.931904719557081,0.894256055355072
21,0.2139650082581066,0.9192589080790013,0.18833514664854323,0.9314906404131935,0.8953500986099243
22,0.21307157921163658,0.9191202214745243,0.18928441213709968,0.9322359840075175,0.894256055355072
23,0.218640110335139,0.9175623074958199,0.18937508087782634,0.9317390867641994,0.894256055355072
24,0.21199615053725585,0.9206758231352391,0.18854236439580008,0.9318219031606402,0.8953500986099243
25,0.2111657102676955,0.9200702234033192,0.1884880067337127,0.9324016139620827,0.8953500986099243
26,0.212744190834427,0.9207405432274467,0.1888481419001307,0.9319047189894176,0.894256055355072
27,0.21657419657450544,0.9186879808537698,0.18787702300718853,0.9309109301794143,0.894256055355072
28,0.21095243896665186,0.9200933388830942,0.18855833326067242,0.9317390873318627,0.894256055355072
29,0.21202804019861815,0.9187919956645326,0.18918274229481108,0.9308281149183001,0.894256055355072
30,0.2162074888722178,0.9177518472717139,0.18905302520309175,0.9307452985218593,0.8953500986099243
31,0.21068804766358942,0.920685069412706,0.18830493688583375,0.9315734579449608,0.894256055355072
32,0.21525251687143407,0.9195062315635134,0.18856292033479327,0.9318219037283034,0.8953500986099243
33,0.21116053034956947,0.920925458795146,0.1888915044211206,0.9316562720707484,0.8953500986099243
34,0.21369432734601806,0.919064747231999,0.18828175415595372,0.9321531670434134,0.8953500986099243
35,0.21817525757842088,0.9175137693516946,0.18738488256931304,0.9318219042959668,0.894256055355072
36,0.21360537504251495,0.9184360333036578,0.188170534939993,0.9319047201247442,0.8953500986099243
37,0.2170208339806664,0.9203406632231753,0.1892621792498089,0.9314078240167527,0.894256055355072
38,0.20921742846592192,0.9201719280350151,0.18877377616507665,0.9329813258988516,0.8953500986099243
39,0.21630516979825554,0.9188636514273557,0.18845371277559372,0.932318799836295,0.894256055355072
40,0.21286279584267778,0.9182811660344521,0.18870792303766523,0.931987536521185,0.894256055355072
41,0.21450430652099933,0.918327397136597,0.18800739589191617,0.9312421923591977,0.894256055355072
42,0.21176415002731044,0.9196379846362976,0.1890653554172743,0.9319047189894176,0.8953500986099243
43,0.21495639527457183,0.917853549051513,0.18859520668075197,0.9322359834398543,0.8953500986099243
44,0.21523788011672965,0.918096250324158,0.18854305843512217,0.9316562715030852,0.894256055355072
45,0.2128232985414101,0.9197581791136253,0.1880678599789029,0.9316562720707484,0.894256055355072
46,0.2125513871962374,0.9194877394363641,0.18992054434049696,0.9320703517822992,0.8953500986099243
47,0.20938148604411827,0.9199985700646086,0.1901713532351312,0.931325009890965,0.8953500986099243
48,0.21590197833174724,0.9187688794717834,0.18848841545127687,0.9318219042959668,0.894256055355072
49,0.211520059167911,0.9201048961951972,0.18828513317164922,0.9317390896025158,0.894256055355072
50,0.2104982938528346,0.9212143900291772,0.18837965017273312,0.9325672478902908,0.8953500986099243
51,0.2125876358393847,0.9199384716138885,0.18857194483280182,0.9312421934945243,0.894256055355072
52,0.20815238639997524,0.9217021041794827,0.18845578283071518,0.9316562715030852,0.894256055355072
53,0.2089595046233047,0.9219170670475115,0.18867786391859964,0.9318219042959668,0.894256055355072
54,0.21606823859032262,0.9185331124438053,0.18905547289621263,0.9316562720707484,0.894256055355072
