epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.8610460905013262,0.6500544773897639,0.9504428931018886,0.7984429185881334
2,0.5501366015385698,0.8973856270313263,0.6578638312571189,0.8587802850148257
3,0.34680938062568506,0.9328976074854533,0.5177008448278203,0.8892733630012063
4,0.24243117755761853,0.9537218619275976,0.5044416250551448,0.8805147128946641
5,0.19397768216138636,0.9625272353490194,0.4337601420633933,0.8995458536288318
6,0.17427890959920156,0.9651416142781576,0.3934728119741468,0.8934904906679603
7,0.13098672994033053,0.9756354409235495,0.40004487248028026,0.8995458536288318
8,0.11975195240919237,0.9736383457978567,0.37595448412877674,0.9056012165897033
9,0.12308340413254444,0.9732026159763336,0.3719871593091418,0.9039792444776086
10,0.11049986863681288,0.9734204808870951,0.3636824531371103,0.9100346074384802
11,0.10054337834956607,0.9764705896377563,0.36235607601702213,0.9073313202928094
12,0.09275455154495797,0.9779956440130869,0.3347897185012698,0.9099264758474687
13,0.08843414847635561,0.9821350773175558,0.3291179032119758,0.9125216314021278
14,0.08342190212052729,0.9803921580314636,0.32648521352230625,0.9143598666962456
15,0.07537412333422927,0.9827886720498403,0.34858551854267716,0.9057093481807148
16,0.07071558338658954,0.984749456246694,0.3241664530051982,0.909169555586927
17,0.08426096104171679,0.9782135089238485,0.31450547699761744,0.9090614239959156
18,0.06958198838056652,0.9834422667821249,0.2999869677621652,0.9194420462145525
19,0.054095001356176065,0.9877995649973551,0.27296321115949573,0.9256055407664355
20,0.07427644087993368,0.9816993474960327,0.2678126024411005,0.9204152296571171
21,0.05409078470784826,0.9877995649973551,0.2661088891875218,0.9290657481726479
22,0.057595756413691024,0.9871459702650706,0.3113324323888211,0.9134948148446924
23,0.05329146647774097,0.9867102404435476,0.27779147557585554,0.9333910074304131
24,0.06382031091790716,0.9836601316928864,0.30924921860808835,0.9152249185477986
25,0.057394824179398174,0.9862745106220245,0.28028952286523934,0.9152249185477986
26,0.04758879192382597,0.9904139439264933,0.328156485907076,0.9117647111415863
27,0.049697844104418805,0.9880174299081167,0.2894559448639698,0.9212802815086701
28,0.04279553272407847,0.9908496737480164,0.29350948026951623,0.9238754370633293
29,0.04391738247008847,0.9901053020247707,0.2868181215873098,0.925497409175424
30,0.03963037052049508,0.9895424842834473,0.29100194661056294,0.9204152296571171
31,0.04658736048990653,0.9899782141049703,0.2940355510560467,0.9256055407664355
32,0.04027057887751316,0.9904139439264933,0.2552366382168496,0.9273356444695416
33,0.04807306791146941,0.9875817000865936,0.2796231100664419,0.9221453333602232
34,0.05034148889088236,0.9867102404435476,0.2679189417018172,0.9203070980661056
35,0.03641045342384906,0.9910675386587778,0.2593924864743124,0.9230103852117763
36,0.040148101707799706,0.9908496737480164,0.24928191538407085,0.9247404889148825
37,0.04033799872354225,0.9895424842834473,0.2517414269284071,0.9264705926179886
38,0.042573346343016495,0.9882716057477174,0.29258611168274107,0.9221453333602232
39,0.04907461562047333,0.9882352948188782,0.27482096596127925,0.9325259555788601
40,0.03781232112496919,0.9912854035695394,0.24837489982190378,0.931660903727307
41,0.04287438833400504,0.9901960790157318,0.3141495976323152,0.9152249185477986
42,0.03603664034884854,0.9906318088372549,0.27063055133775754,0.919550177805564
43,0.042437289950881946,0.9884531597296397,0.2764989611802294,0.924632357323871
44,0.04315220956877629,0.9899782141049703,0.2955379369942581,0.9178200741024578
45,0.03536167558470172,0.9923747281233469,0.25248625756734433,0.9298226684331894
46,0.04319245625687203,0.9886710246404012,0.28145253473399756,0.9212802815086701
47,0.048419322523167704,0.9880174299081167,0.3062811050673618,0.9152249185477986
48,0.03751208703022847,0.9915032684803009,0.2955857881290071,0.9116565795505748
49,0.03348723051329014,0.991938998301824,0.2615528259125045,0.9264705926179886
50,0.02881390310492996,0.9938997824986776,0.251396905620555,0.9298226684331894
51,0.030207160593514953,0.9915032684803009,0.2672586627646952,0.9305795886937309
52,0.032453155925139546,0.9912854035695394,0.2608737069839502,0.9256055407664355
53,0.03352315323443488,0.9923747281233469,0.24130292497027447,0.9359861629850724
54,0.025454331928954667,0.993681917587916,0.24771361239254475,0.9263624610269771
55,0.0322500693607489,0.9908496737480164,0.23300831385559456,0.9359861629850724
